Ch0_time1 (s),Ch0_amp1 (V),Ch0_width1 (s),Ch0_time2 (s),Ch0_amp2 (V),Ch0_width2 (s),Ch1_time1 (s),Ch1_amp1 (V),Ch1_width1 (s),Ch1_time2 (s),Ch1_amp2 (V),Ch1_width2 (s)
2.672e-06,0.179585,6.465241e-08,0.0,0.0,0.0,2.692e-06,0.129541,6.301576e-08,0.0,0.0,0.0
2.672e-06,0.190415,6.280359e-08,0.0,0.0,0.0,2.692e-06,0.163958,6.183759e-08,0.0,0.0,0.0
2.7e-06,0.074639,5.696881e-08,0.0,0.0,0.0,2.724e-06,0.155488,7.370815e-08,0.0,0.0,0.0
2.7e-06,0.075145,6.91625e-08,0.0,0.0,0.0,2.716e-06,0.150606,6.577882e-08,0.0,0.0,0.0
2.68e-06,0.177123,6.202556e-08,0.0,0.0,0.0,2.704e-06,0.088699,8.927383e-08,0.0,0.0,0.0
2.648e-06,0.372557,6.354351e-08,0.0,0.0,0.0,2.68e-06,0.069625,5.990511e-08,0.0,0.0,0.0
2.724e-06,0.25761,6.622075e-08,0.0,0.0,0.0,3.792e-06,0.058492,5.823243e-08,0.0,0.0,0.0
2.692e-06,0.093095,6.211532e-08,0.0,0.0,0.0,2.708e-06,0.464466,6.800621e-08,0.0,0.0,0.0
2.712e-06,0.049052,5.679239e-08,0.0,0.0,0.0,2.724e-06,0.388347,6.880434e-08,0.0,0.0,0.0
2.684e-06,0.159172,6.829479e-08,0.0,0.0,0.0,2.704e-06,0.363932,6.642479e-08,0.0,0.0,0.0
2.64e-06,0.373351,6.762702e-08,0.0,0.0,0.0,2.668e-06,0.179968,6.364969e-08,0.0,0.0,0.0
2.66e-06,0.284793,6.689624e-08,0.0,0.0,0.0,2.684e-06,0.18708,6.419914e-08,0.0,0.0,0.0
2.696e-06,0.091885,6.333792e-08,0.0,0.0,0.0,2.712e-06,0.08731,6.157329e-08,0.0,0.0,0.0
2.672e-06,0.194853,6.442574e-08,0.0,0.0,0.0,2.692e-06,0.193615,6.25039e-08,0.0,0.0,0.0
2.7e-06,0.088702,6.848778e-08,0.0,0.0,0.0,2.712e-06,0.241292,7.316208e-08,0.0,0.0,0.0
2.696e-06,0.090603,5.927276e-08,0.0,0.0,0.0,2.716e-06,0.121881,6.100218e-08,0.0,0.0,0.0
2.708e-06,0.0609,5.635863e-08,0.0,0.0,0.0,2.748e-06,0.071153,7.72141e-08,0.0,0.0,0.0
2.68e-06,0.176728,6.116017e-08,0.0,0.0,0.0,2.7e-06,0.133473,6.358745e-08,0.0,0.0,0.0
2.688e-06,0.102897,6.651308e-08,0.0,0.0,0.0,2.72e-06,0.052765,5.881861e-08,0.0,0.0,0.0
2.676e-06,0.194236,6.268728e-08,0.0,0.0,0.0,2.704e-06,0.077746,5.735494e-08,0.0,0.0,0.0
2.696e-06,0.105985,6.063867e-08,0.0,0.0,0.0,2.716e-06,0.220389,6.422129e-08,0.0,0.0,0.0
2.672e-06,0.157197,6.832279e-08,0.0,0.0,0.0,2.692e-06,0.26328,6.875132e-08,0.0,0.0,0.0
2.668e-06,0.201621,6.64414e-08,0.0,0.0,0.0,2.7e-06,0.069793,6.359885e-08,0.0,0.0,0.0
2.684e-06,0.159862,5.93358e-08,0.0,0.0,0.0,2.712e-06,0.083257,6.467626e-08,0.0,0.0,0.0
2.632e-06,0.361007,6.716707e-08,0.0,0.0,0.0,2.664e-06,0.181243,6.901155e-08,0.0,0.0,0.0
2.644e-06,0.294511,6.616003e-08,0.0,0.0,0.0,2.672e-06,0.284888,7.179464e-08,0.0,0.0,0.0
2.7e-06,0.067018,5.832431e-08,0.0,0.0,0.0,2.74e-06,0.057829,6.468243e-08,0.0,0.0,0.0
2.712e-06,0.056939,6.308789e-08,0.0,0.0,0.0,2.724e-06,0.091936,6.448332e-08,0.0,0.0,0.0
2.688e-06,0.124602,6.010858e-08,0.0,0.0,0.0,2.712e-06,0.143102,6.985725e-08,0.0,0.0,0.0
2.688e-06,0.109106,6.111499e-08,0.0,0.0,0.0,2.708e-06,0.172452,6.918025e-08,0.0,0.0,0.0
2.688e-06,0.106904,6.423021e-08,0.0,0.0,0.0,2.7e-06,0.35457,6.934009e-08,0.0,0.0,0.0
2.624e-06,0.348524,7.929244e-08,0.0,0.0,0.0,2.648e-06,0.281097,7.493901e-08,0.0,0.0,0.0
2.696e-06,0.101416,5.944035e-08,0.0,0.0,0.0,2.716e-06,0.08301,6.170947e-08,0.0,0.0,0.0
2.7e-06,0.066205,6.012951e-08,0.0,0.0,0.0,2.716e-06,0.237162,6.591872e-08,0.0,0.0,0.0
2.708e-06,0.075285,6.899051e-08,0.0,0.0,0.0,2.724e-06,0.253826,6.499617e-08,0.0,0.0,0.0
2.7e-06,0.089323,5.856241e-08,0.0,0.0,0.0,2.716e-06,0.178303,6.487869e-08,0.0,0.0,0.0
2.644e-06,0.326396,6.633517e-08,0.0,0.0,0.0,2.676e-06,0.143909,6.125362e-08,0.0,0.0,0.0
